Pid,Shoe name,isNew,Gender,category,isBestSeller,isMemberExclusive,isSustainable,inStock,numColors,Color 1,Color 2,Color 3,Color 4,Price,Expensive
1012596804,Air VaporMax Plus,True,Women,Shoes,False,False,False,True,3,Pink Blast,Black,Clear Jade,NaN,210,True
1010124075,Air VaporMax Plus,False,Women,Shoes,False,False,False,True,4,Hyper Pink,White,Pink Blast,Hyper Pink,210,True
1008060923,Air VaporMax Plus,False,Women,Shoes,False,False,False,True,4,Fuchsia Dream,Vivid Orange,Baltic Blue,Bright Crimson,210,True
1011847829,Air VaporMax Plus,False,Women,Shoes,False,False,False,True,4,Pink Spell,Spring Green,Racer Blue,Citron Pulse,210,True
13125335,Air VaporMax Plus,False,Women,Shoes,False,False,False,True,3,Black,Anthracite,Black,NaN,210,True
1012594589,Air VaporMax 2023 Flyknit,True,Women,Shoes,False,False,False,True,4,Clear Jade,Pink Blast,White,Black,210,True
1010047169,Air VaporMax 2023 Flyknit,False,Women,Shoes,False,False,False,True,3,Black,Black,Anthracite,NaN,210,True
1010047219,Air VaporMax 2023 Flyknit,False,Women,Shoes,False,False,False,True,4,Pale Vanilla,Sail,Sesame,Sea Coral,210,True
1010047262,Air VaporMax 2023 Flyknit,False,Women,Shoes,False,False,False,True,4,Oatmeal,Pink Oxford,Sail,Pearl Pink,210,True
1010047199,Air VaporMax 2023 Flyknit,False,Women,Shoes,False,False,False,True,3,Black,Anthracite,Sail,NaN,210,True
1010047200,Air VaporMax 2023 Flyknit,False,Women,Shoes,False,False,False,True,4,White,Metallic Silver,Metallic Silver,Pure Platinum,210,True
1012595128,Gamma Force,False,Shoes,Shoes,False,False,False,True,3,White,Rush Fuchsia,Emerald Rise,NaN,90,False
1010067527,Gamma Force,False,Shoes,Shoes,True,False,False,True,4,White,Summit White,Iron Grey,Black,90,False
1010071418,Gamma Force,False,Shoes,Shoes,True,False,False,True,4,Sail,Wheat Gold,Team Red,Fir,90,False
1010066020,Gamma Force,False,Shoes,Shoes,True,False,False,True,4,White,Deep Royal Blue,Summit White,Game Royal,90,False
